OBJECTID,Neighborhood,Tax_ID,Address,Owner_Agency,Acquisition_Date,Purchase_Price,Funding_Source,CONDEMNED,RESTRICTIONS,Current_Use,Sq_Footage,Mowable_Sq_Footage,Zoning,Deed_Book,Deed_Page,Property_Description,Notes,Neighborhood_Plan,Available_For_Sale,Disposotion_Date,ORIG_FID,More_Details,GlobalID,SHAPE
125,Willow Oaks,0013457,1900 1904 Everitt St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5902.912827,1872,TN,007203,00993, 1 ZONE C SH1 PB 169-132 WILLOW OAKS,190 1902 1904 EVERITT ST-1 LOT FOR TRIPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,134,Null,{1A74B696-D6D1-44A3-9429-C3659FBB7C6A},Point
126,Willow Oaks,0013456,1906 1912 Everitt St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,7448.36209,3553,TN,007203,00993, 2 ZONE C SH1 PB 169-132 WILLOW OAKS,1906 1908 1910 1912 EVERITT ST-1 LOT FOR QUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,135,Null,{1AF28242-E5C2-4813-A31B-A6735D6AB8C7},Point
127,Willow Oaks,0013490,2103 2115 Willow Leaf Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,11296.418471,1613,TN,007203,00993,8 ZONE C SH2 PB 169-133 WILLOW OAKS,2103-2115 LINDA JONES AVE-1 LOT FOR 7 RESIDENTIAL UNITS,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,136,Null,{DAB35C12-15B2-4C38-90BB-CA3ADF5A3074},Point
128,Willow Oaks,0013489,2101 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3779.405898,3780,TN,007203,00993,9 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,137,Null,{4C1B236E-4AE3-4FFE-8C51-9298143547C6},Point
129,Willow Oaks,0013476,2017 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,1613,3974.545508,TN,007203,00993,10 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,138,Null,{4A2CAA95-CCBB-4C9B-9694-00F9532404B6},Point
130,Willow Oaks,0013475,2011 2015 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4598.866948,2340,TN,007203,00993,11 ZONE C SH2 PB 169-133 WILLOW OAKS,2011 2013 2015 LINDA JONES AVE-1 LOT FOR TRIPLEX ,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,139,Null,{15C2B2DC-A3D0-406F-B28F-0B23B7EEFCB7},Point
131,Willow Oaks,0013474,2003 2009 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5827.651913,1486,TN,007203,00993,12 ZONE C SH2 PB 169-133 WILLOW OAKS,2003 2005 2007 2009 LINDA JONES AVE-1 LOT FOR QUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,140,Null,{683501AB-CFA7-4DA2-80BD-108D0D99D0C0},Point
132,Willow Oaks,0013473,2001 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3999.12139,3941,TN,007203,00993,13 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,141,Null,{94111C9E-B857-440E-996A-EB570A3F5D62},Point
133,Willow Oaks,0013466,804 Dunbar St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4215.873044,4048,TN,007203,00993,14 ZONE C SH1 PB 169-132 WILLOW OAKS,804 DUNBAR ST OR 2 &/OR 4 LINDA JONES CIR-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,142,Null,{3702DC30-69DB-4041-BC75-DFF995F68113},Point
134,Willow Oaks,0013465,6 8 Linda Jones Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4322.248609,4322,TN,007203,00993,15 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,143,Null,{F945F03D-8742-4AD0-814B-A06EC27B1547},Point
135,Willow Oaks,0013464,10 16 Linda Jones Cir,Greensboro Housing Development Partnership,12/30/2011,Null,Null,Null,Yes,Vacant Lot,11180.519262,2673,TN,007203,00993,16 ZONE C SH 1 PB 169-132 WILLOW OAKS,10 12 14 16 LINDA JONE CIR-1 LOT FOR QUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,144,Null,{3FAD28F0-C938-4BFC-AA22-1DDEE0340F11},Point
136,Willow Oaks,0013469,18 20 Linda Jones Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4742.915056,2274,TN,007203,00993,17 ZONE C SH1 PB 169-132 WILLOW OAKS,18 20 LINDA JONES CIR-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,145,Null,{4B2FB2E8-4AD3-4A4C-B7E0-3C8C80BD8E1A},Point
137,Willow Oaks,0013468,22 24 Linda Jones Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3894.543375,1868,TN,007203,00993,18 ZONE C SH1 PB 169-132 WILLOW OAKS,22 24 LINDA JONES CIR-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,146,Null,{7A63F843-595E-4447-94AC-0C333879F6BC},Point
138,Willow Oaks,0013477,2000 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4039.702837,3864,TN,007203,00993,19 ZONE C PB 169-133,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,147,Null,{E5D03F71-0F33-4ECA-82DA-30D5267820D3},Point
139,Willow Oaks,0013480,2002 2008 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,7017.496236,1755,TN,007203,00993,20 ZONE C SH2 PB 169-133 WILLOW OAKS,2002 2004 2006 2008 LINDA JONES AVE-1 LOT FOR DUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,148,Null,{4F850F82-CAB5-401E-90EB-B8BBD17662F7},Point
140,Willow Oaks,0013481,2010 2014 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5517.47622,1821,TN,007203,00993,21 ZONE C SH2 PB 169-133 WILLOW OAKS,2010 2012 2014 LINDA JONES AVE-1 LOT FOR TRIPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,149,Null,{598EF53B-2B56-4AB3-9295-E8EB36AD5076},Point
141,Willow Oaks,0013482,2016 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4560.259537,3388,TN,007203,00993,22 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,150,Null,{54EE3CCA-30CB-4E9B-B14C-9FFB7B74639F},Point
142,Willow Oaks,0013507,2100 Linda Jones Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3192.134557,3192,TN,007203,00993,23 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,151,Null,{961EE62D-D74C-400A-8B47-87C405E19CFB},Point
143,Willow Oaks,0013491,2102 2110 Willow Leaf Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,7758.675149,1551,TN,007203,00993,24 ZONE C SH2 PB 169-133 WILLOW OAKS,2102 2104 2106 2108 2110 LINDA JONES AVE-1 LOT FOR 5 RESIDENTIAL UNITS,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,152,Null,{C66BA1ED-3999-486F-B62E-56833A26BFE4},Point
144,Willow Oaks,0013494,2101 2103 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5727.590944,2864,TN,007203,00993,28 ZONE C SH2 PB 169-133 WILLOW OAKS,2101 2103 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,153,Null,{9FFBB037-B683-4CC2-80F3-F116162202F2},Point
145,Willow Oaks,0013487,2009 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5317.87363,4300,TN,007203,00993,29 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,154,Null,{C6A1D327-EE1A-4468-B049-21D7B3E199AB},Point
146,Willow Oaks,0013486,2007 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4436.069294,4394,TN,007203,00993,30 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,155,Null,{5A42F866-3A32-4256-8BAB-C469A511D9AF},Point
147,Willow Oaks,0013485,2005 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4168.716292,4079,TN,007203,00993,31 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,156,Null,{24AB409A-D3CD-46B4-924D-D1EEDEA2F420},Point
148,Willow Oaks,0013484,2003 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4141.837421,4115,TN,007203,00993,32 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,157,Null,{5F50B72E-97CE-4F51-9426-1B4C4FFF3345},Point
149,Willow Oaks,0013483,811 Dunbar St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4941.391679,4677,TN,007203,00993,33 ZONE C SH2 PB 169-133 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,158,Null,{ADDE714D-5636-4847-8D9A-28DA206EF34B},Point
150,Willow Oaks,0013472,1919 1921 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4963.116507,2407,TN,007203,00993,34 ZONE C SH 1 PB169-132 WILLOW OAKS,1919 1921 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,159,Null,{A40974F8-8109-4AC5-81ED-A397AA7715B9},Point
151,Willow Oaks,0013471,1915 1917 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4815.188375,2407,TN,007203,00993,35 ZONE C SH1 PB 169-132 WILLOW OAKS,1915 1917 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,160,Null,{679DADDB-19CC-43BB-B7FF-A229B6556224},Point
152,Willow Oaks,0013470,1911 1913 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4926.03402,2360,TN,007203,00993,36 ZONE C SH1 PB 169-132 WILLOW OAKS,1911 1913 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,161,Null,{6D2D5C37-C18F-4BED-AD61-90AF9FF7E767},Point
153,Willow Oaks,0013463,1903 1909 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,8477.817221,1989,TN,007203,00993,37 ZONE C SH1 PB 169-132 WILLOW OAKS,1903 1905 1907 1909 MCCONNELL RD-1 LOT FOR QUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,162,Null,{B705FD2F-9552-4D48-BC08-197B66BE35CD},Point
154,Willow Oaks,0010605,730 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6044.591567,5739,TN,007203,00993,11 PB 172-17 WILLOW OAKS ZONE D,730 GILLESPIE ST 1711 MORNING VIEW DR-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,163,Null,{0B9186BA-A940-4A79-B447-E4BAD880089F},Point
155,Willow Oaks,0010603,1709 Morning View Dr,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3187.903914,3180,TN,007203,00993,12 PB 172-17 WILLOW OAKS ZONE D,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,164,Null,{5225BE44-114E-4B61-B185-4865DD2EE282},Point
156,Willow Oaks,0010599,722 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4987.962878,4985,TN,007203,00993,16 PB 172-17 WILLOW OAKS ZONE D,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,165,Null,{55F0B24A-86F0-4376-A59B-A6C7B62CD701},Point
157,Willow Oaks,0010600,724 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4462.221885,4985,TN,007203,00993,17 PB 172-17 WILLOW OAKS ZONE D,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,166,Null,{4B86E57B-20DF-4B3D-808E-1DEFDB7D4345},Point
158,Willow Oaks,0010598,697 Dorgan Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6536.915769,6638,TN,007203,00993,20 PB 172-17 WILLOW OAKS ZONE D,SHOULD THIS BE 699 DORGAN?? OR 720 GILLESPIE ST 693 & 695 DORGAN AVE-1 LOT POSSIBLE TRIPLEX/QUADRUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,167,Null,{2778CD95-F78D-4AD3-8C25-BEBEECC9CFF7},Point
159,Willow Oaks,0010596,1714 Spencer St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6354.75168,6336,TN,007203,00993,21 PB 172-17 WILLOW OAKS ZONE D,1714 SPENCER ST 700 DORGAN AVE- 1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,168,Null,{92CA6A12-74BA-4471-B99E-50F14B6A70DA},Point
160,Willow Oaks,0010564,604 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4754.530727,4508,TN,007203,00993,22 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,169,Null,{94B9B201-AE50-4990-B0C6-2FE029DDAD1E},Point
161,Willow Oaks,0010565,606 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4260.894593,4125,TN,007203,00993,23 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,170,Null,{5493C141-5818-4767-842C-9BD40E7A0771},Point
162,Willow Oaks,0010566,608 Gillespie St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5232.286986,2606,TN,007203,00993,24 ZONE D PB 172-18 WILLOW OAKS,608 GILLESPIE ST 1709 SPENCER ST-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,171,Null,{B1FCE436-4BCF-4AAD-A031-EE858C3C42CD},Point
163,Willow Oaks,0010572,1707 Spencer St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5705.709296,5450,TN,007203,00993,25 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,172,Null,{C1F7019E-F933-44EB-960F-17617F4609DA},Point
164,Willow Oaks,0010567,1705 Spencer St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6380.252995,6666,TN,007203,00993,26 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,173,Null,{621B1C46-B0D1-4D88-8095-8F42AAA297AB},Point
165,Willow Oaks,0010569,1703 Spencer St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6815.216519,6784,TN,007203,00993,27 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,174,Null,{9EEA2126-5314-4E96-ABF3-5315C305DCFE},Point
166,Willow Oaks,0010571,1701 Spencer St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6588.662621,6472,TN,007203,00993,28 ZONE D PB 172-18 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,175,Null,{EBCEAA87-8A2A-4CB3-87B1-A6C1C7D0915A},Point
167,Willow Oaks,0010618,706 Dorgan Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3937.439111,3931,TN,007203,00993,32 PB 172-17 WILLOW OAKS ZONE D,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,176,Null,{81B24BF1-5E99-4CA3-ABBE-702668A35FD6},Point
168,Willow Oaks,0021351,7 Willowside Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5167.275438,5167,TN,007203,00993, 3 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,177,Null,{C2A7E5AF-5BC2-48D7-BF1B-E378EF041F69},Point
169,Willow Oaks,0021350,9 Willowside Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3979.17601,3978,TN,007203,00993, 4 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,178,Null,{5FD1EF5B-BEE3-4D73-8DC5-EE918A271E1E},Point
170,Willow Oaks,0021341,11 Willowside Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3053.089137,3052,TN,007203,00993,5 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,179,Null,{175408BD-73B2-4CAE-AAA9-11FD21EE5229},Point
171,Willow Oaks,0021348,15 Willowside Cir,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Null,3554.661559,3554,TN,007203,00993,6 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,180,Null,{03EE1A81-FA30-4E26-91B8-9B32CE59CEC1},Point
172,Willow Oaks,0021336,2133 2135 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5349.780862,2675,TN,007203,00993,9 ZONE E PB 169-131 WILLOW OAKS,2133 2135 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,181,Null,{CC449AF1-C462-4424-9BEB-FFCC29555299},Point
173,Willow Oaks,0021330,2141 2143 McConnell Rd,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,5951.708533,2974,TN,007203,00993,12 ZONE E PB 169-131 WILLOW OAKS,2141 2143 MCCONNELL RD-1 LOT FOR DUPLEX,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,182,Null,{6D5646E5-932B-4E70-A592-920B31917961},Point
174,Willow Oaks,0021331,1020 S. English St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4930.187631,4930,TN,007203,00993,13 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,183,Null,{D71CD8F3-33E9-4B26-A976-5FE55896D5A8},Point
175,Willow Oaks,0021332,1018 S. English St,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,7113.822144,7113,TN,007203,00993,14 ZONE E PB 169-131 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,184,Null,{9DC1B694-E657-49B4-8A66-854265F8A507},Point
176,Willow Oaks,0021349,2133 NEAR McConnell Rd,Redevelopment Commission of Greensboro,12/30/2010,Null,Null,Null,Yes,Vacant Lot,6462.911314,6463,TN,005606,00568,COMMON/PARK ZE PB 169-131 WILLOW OAKS,COMMON AREA-POCKET PARK,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,185,Null,{06C67A87-D171-45B0-A3AC-357464F853FA},Point
177,Willow Oaks,0010614,699 Dorgan Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,4322.046319,6638,TN,007203,00993,15 PB 172-17 WILLOW OAKS ZONE D,IS THIS POSSIBLEY MEANT AS 699 DORGAN AVE??,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,186,Null,{A65061A0-7F27-4C26-9C21-1EA992958ECB},Point
178,S. Elm Street,0000497,1015 S EUGENE ST,Redevelopment Commission of Greensboro,Null,Null,Null,Null,Null,Null,Null,Null,LI,005389,01429,PROPERTY_DESCR	PT TRI WARNERSVILLE PRJT III PB 50-81,Null,Null,Yes,Null,Null,Null,{0D3420B1-26DE-40A4-B33B-516175BC9CA3},Point
179,S. Elm Street,0001386,1201 S EUGENE ST,Redevelopment Commission of Greensboro,Null,Null,Null,Null,Null,Null,Null,Null,RM-18,Null,Null,2.72AC 1 PB109-133 ST JAMES HOME,Null,Null,Yes,Null,Null,Null,{49AF22AB-C23A-4D3B-B990-8CF9DAF40EE9},Point
